"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALPG",0.175492506763753,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"DOK2",0.175492506763753,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"TRIL",0,NA,NA,NA,NA,NA
"CNTD2",1.65096283929702,-1.99187954483331,1.77842352888687,-1.12002541153965,0.262702933409419,NA
"NEURL1-AS1",0,NA,NA,NA,NA,NA
"SH3PXD2A-AS1",0,NA,NA,NA,NA,NA
"MIR936",0,NA,NA,NA,NA,NA
"KRT76",0,NA,NA,NA,NA,NA
"MIR609",0.28733041430658,-1.70602618566793,4.05687661202766,-0.420527008539027,0.674100503224131,NA
"MIR4482",2.68302158626451,-1.19457706322073,1.17605549111421,-1.01574889301267,0.30974897871018,NA
"CFAP58-DT",6.76907888916748,-0.502380574479909,0.801712076723584,-0.626634659830778,0.530898743333551,NA
"SIGLEC10",0,NA,NA,NA,NA,NA
"LINC02620",0,NA,NA,NA,NA,NA
"SORCS3-AS1",0,NA,NA,NA,NA,NA
"LINC02627",0,NA,NA,NA,NA,NA
"LINC02624",0,NA,NA,NA,NA,NA
